2025-06-05 11:48:06 INFO  :326 - Start Clicking on (Login Button)
2025-06-05 11:48:07 INFO  :331 - ( //button[@id='loginbtn'] )
2025-06-05 11:48:07 INFO  :333 - Clicked on (Login Button)
2025-06-05 11:48:07 INFO  :326 - Start Clicking on (UHID Radio Button)
2025-06-05 11:48:08 INFO  :331 - ( //input[@id='radio2'] )
2025-06-05 11:48:08 INFO  :333 - Clicked on (UHID Radio Button)
2025-06-05 11:48:08 INFO  :362 - Start Entering...
2025-06-05 11:48:08 INFO  :364 - //input[@id='txtUhid']: Input Data : (ISIC.100)
2025-06-05 11:48:09 INFO  :370 - End Entering...
2025-06-05 11:48:09 INFO  :362 - Start Entering...
2025-06-05 11:48:09 INFO  :364 - //input[@id='txtPassword']: Input Data : (123)
